,bundle_set,quantity,sub_cat_3_name_en,sku_ready_required_days,packing_box_type,weight,height,length,width,manufacturer_country_en,is_weekend,any_promotion,total_price_range
1,0,1,Frozen Fish,0,FROZEN,250.0,210,150,30.0,CHINA,weekday,1,< 50
3,0,1,Frozen Fish,0,FROZEN,120.0,250,170,10.0,VIET NAM,weekday,0,< 50
16,0,1,Frozen Fish,0,FROZEN,143.0,300,120,30.0,CHINA,weekday,0,< 50
18,0,1,Frozen Fish,0,FROZEN,512.0,67,206,238.0,VIET NAM,weekday,1,< 50
19,0,1,Frozen Fish,0,FROZEN,1135.0,160,220,60.0,NORWAY,weekday,1,< 50
20,0,1,Frozen Fish,0,FROZEN,400.0,300,200,20.0,NORWAY,weekday,1,< 50
21,0,1,Frozen Fish,0,FROZEN,100.0,90,100,70.0,CHINA,weekday,0,< 50
25,0,1,Frozen Fish,0,FROZEN,250.0,300,200,20.0,VIET NAM,weekday,1,< 50
26,0,2,Frozen Fish,0,FROZEN,400.0,300,200,20.0,NORWAY,weekday,1,< 50
29,0,1,Frozen Fish,0,FROZEN,434.0,33,155,319.0,NORWAY,weekday,1,< 50
30,0,1,Frozen Fish,0,FROZEN,340.0,260,150,60.0,JAPAN,weekday,1,51-100
32,0,1,Frozen Fish,0,FROZEN,500.0,300,200,20.0,VIET NAM,weekday,1,< 50
47,0,1,Frozen Fish,0,FROZEN,270.0,230,300,20.0,GREENLAND,weekday,1,< 50
50,0,1,Frozen Fish,0,FROZEN,480.0,300,200,40.0,CHINA,weekday,1,< 50
107,0,1,Frozen Fish,0,FROZEN,300.0,270,170,5.0,CHINA,weekday,1,51-100
118,0,1,Frozen Fish,0,FROZEN,800.0,60,205,450.0,CANADA,weekday,0,101-200
119,0,1,Frozen Fish,0,FROZEN,454.0,48,222,341.0,CANADA,weekday,0,< 50
121,0,1,Frozen Fish,0,FROZEN,200.0,150,110,35.0,CHINA,weekday,0,< 50
122,0,1,Frozen Fish,0,FROZEN,340.0,250,180,20.0,UNITED STATES OF AMERICA,weekday,1,51-100
123,0,1,Frozen Fish,0,FROZEN,195.0,150,110,35.0,JAPAN,weekday,0,51-100
124,0,2,Frozen Fish,0,FROZEN,355.0,250,150,50.0,PERU,weekday,1,51-100
125,0,1,Frozen Fish,0,FROZEN,240.0,250,150,50.0,INDIA,weekday,1,< 50
126,0,1,Frozen Fish,0,FROZEN,250.0,250,180,20.0,CHINA,weekday,1,< 50
128,0,2,Frozen Fish,0,FROZEN,250.0,250,150,50.0,INDONESIA,weekday,1,51-100
