,Sex,Age,Pclass,SibSp,Parch,Fare,Cabin_First_Letter,Survived,Bin_Age
0,male,22.0,3,1,0,7.25,N,0,20s
1,female,38.0,1,1,0,71.2833,C,1,30s
2,female,26.0,3,0,0,7.925,N,1,20s
3,female,35.0,1,1,0,53.1,C,1,30s
4,male,35.0,3,0,0,8.05,N,0,30s
5,male,0.0,3,0,0,8.4583,N,0,<10s
6,male,54.0,1,0,0,51.8625,E,0,50s
7,male,2.0,3,3,1,21.075,N,0,<10s
8,female,27.0,3,0,2,11.1333,N,1,20s
9,female,14.0,2,1,0,30.0708,N,1,10s
10,female,4.0,3,1,1,16.7,G,1,<10s
11,female,58.0,1,0,0,26.55,C,1,50s
12,male,20.0,3,0,0,8.05,N,0,20s
13,male,39.0,3,1,5,31.275,N,0,30s
14,female,14.0,3,0,0,7.8542,N,0,10s
15,female,55.0,2,0,0,16.0,N,1,50s
16,male,2.0,3,4,1,29.125,N,0,<10s
17,male,0.0,2,0,0,13.0,N,1,<10s
18,female,31.0,3,1,0,18.0,N,0,30s
19,female,0.0,3,0,0,7.225,N,1,<10s
20,male,35.0,2,0,0,26.0,N,0,30s
21,male,34.0,2,0,0,13.0,D,1,30s
22,female,15.0,3,0,0,8.0292,N,1,10s
23,male,28.0,1,0,0,35.5,A,1,20s
24,female,8.0,3,3,1,21.075,N,0,<10s
25,female,38.0,3,1,5,31.3875,N,1,30s
26,male,0.0,3,0,0,7.225,N,0,<10s
27,male,19.0,1,3,2,263.0,C,0,10s
28,female,0.0,3,0,0,7.8792,N,1,<10s
29,male,0.0,3,0,0,7.8958,N,0,<10s
30,male,40.0,1,0,0,27.7208,N,0,40s
31,female,0.0,1,1,0,146.5208,B,1,<10s
32,female,0.0,3,0,0,7.75,N,1,<10s
33,male,66.0,2,0,0,10.5,N,0,60s
34,male,28.0,1,1,0,82.1708,N,0,20s
35,male,42.0,1,1,0,52.0,N,0,40s
36,male,0.0,3,0,0,7.2292,N,1,<10s
37,male,21.0,3,0,0,8.05,N,0,20s
38,female,18.0,3,2,0,18.0,N,0,10s
39,female,14.0,3,1,0,11.2417,N,1,10s
40,female,40.0,3,1,0,9.475,N,0,40s
41,female,27.0,2,1,0,21.0,N,0,20s
42,male,0.0,3,0,0,7.8958,N,0,<10s
43,female,3.0,2,1,2,41.5792,N,1,<10s
44,female,19.0,3,0,0,7.8792,N,1,10s
45,male,0.0,3,0,0,8.05,N,0,<10s
46,male,0.0,3,1,0,15.5,N,0,<10s
47,female,0.0,3,0,0,7.75,N,1,<10s
